iter	Passed	Remaining
1547	330148	195572
1548	330417	195391
1549	330758	195254
1550	331094	195112
1551	331276	194881
1552	331536	194694
1553	331761	194488
1554	331979	194277
1555	332119	194020
1556	332266	193768
1557	332457	193542
1558	332649	193316
1559	332843	193091
1560	333020	192857
1561	333215	192633
1562	333388	192396
1563	333479	192113
1564	333664	191883
1565	333849	191654
1566	334022	191418
1567	334199	191184
1568	334315	190915
1569	334397	190628
1570	334553	190382
1571	334701	190132
1572	334860	189889
1573	334977	189621
1574	335145	189383
1575	335314	189146
1576	335424	188875
1577	335582	188632
1578	335764	188402
1579	335847	188117
1580	336000	187871
1581	336174	187637
1582	336557	187519
1583	336772	187308
1584	336873	187033
1585	336962	186752
1586	337025	186457
1587	337184	186215
1588	337365	185986
1589	337562	185765
1590	337657	185488
1591	337866	185274
1592	338058	185051
1593	338246	184825
1594	338368	184564
1595	338558	184340
1596	338671	184074
1597	338862	183850
1598	339062	183632
1599	339148	183351
1600	339248	183079
1601	339367	182817
1602	339558	182594
1603	339646	182316
1604	339734	182038
1605	339821	181759
1606	340018	181540
1607	340218	181322
1608	340328	181057
1609	340517	180833
1610	340713	180614
1611	340789	180331
1612	340986	180111
1613	341125	179862
1614	341319	179641
1615	341494	179411
1616	341584	179136
1617	341803	178929
1618	341925	178671
1619	342033	178406
1620	342225	178185
1621	342429	177970
1622	342609	177743
1623	342843	177543
1624	343058	177334
1625	343256	177116
1626	343439	176891
1627	343630	176670
1628	343822	176448
1629	343913	176176
1630	344099	175952
1631	344288	175730
1632	344390	175463
1633	344493	175198
1634	344663	174966
1635	344759	174697
1636	344863	174433
1637	345047	174209
1638	345159	173948
1639	345341	173723
1640	345430	173451
1641	345604	173223
1642	345777	172993
1643	345918	172748
1644	346119	172533
1645	346324	172320
1646	346522	172104
1647	346731	171893
1648	346931	171677
1649	347142	171467
1650	347351	171256
1651	347550	171040
1652	347647	170774
1653	347844	170557
1654	348033	170336
1655	348143	170077
1656	348375	169877
